model,intrinsic_dim,optimal_dimension,peak_test_accuracy,peak_test_accuracy_ci_low,peak_test_accuracy_ci_high,generalization_gap_at_optimum,snr_proxy_at_optimum,dimension_ratio_optimal_over_intrinsic,dimension_error
knn_k11,64,16,0.6004166666666666,0.5875626124219423,0.6132707209113909,0.09085416666666661,0.6003172846608384,0.25,-48
knn_k11,256,16,0.593,0.5806478980172679,0.605352101982732,0.10087499999999998,0.14508965029140222,0.0625,-240
knn_k11,768,16,0.5540833333333334,0.5389708068881769,0.5691958597784899,0.10599999999999996,0.059768921403582885,0.020833333333333332,-752
linear_svm,64,64,0.7905833333333334,0.7794845706658764,0.8016820960007904,0.021895833333333288,17.084542671070473,1.0,0
linear_svm,256,256,0.8007500000000001,0.7895399611876035,0.8119600388123966,0.0907083333333333,100.00714619242419,1.0,0
linear_svm,768,256,0.7493333333333333,0.7406503495036159,0.7580163171630507,0.10237499999999997,1.5497059266125202,0.3333333333333333,-512
logreg,64,64,0.7886666666666666,0.7778749505453953,0.7994583827879379,0.023979166666666624,17.084542671070473,1.0,0
logreg,256,256,0.7868333333333333,0.7763684548404245,0.797298211826242,0.11410416666666665,100.00714619242419,1.0,0
logreg,768,256,0.7448333333333333,0.7357845146000491,0.7538821520666176,0.11264583333333329,1.5497059266125202,0.3333333333333333,-512
mlp_base,64,64,0.7791666666666667,0.7683103498863268,0.7900229834470065,0.11721354166666662,17.084542671070473,1.0,0
mlp_base,256,256,0.7685,0.7577701325199072,0.7792298674800927,0.2311614583333333,100.00714619242419,1.0,0
mlp_base,768,256,0.7249166666666667,0.7169308964639252,0.7329024368694081,0.27464062499999997,1.5497059266125202,0.3333333333333333,-512
mlp_reg,64,64,0.7706666666666667,0.758574657415955,0.7827586759173785,0.12972395833333328,17.084542671070473,1.0,0
mlp_reg,256,256,0.766,0.7548781734008939,0.7771218265991061,0.2339739583333333,100.00714619242419,1.0,0
mlp_reg,768,512,0.724,0.7159235793348641,0.7320764206651359,0.2759739583333333,8.254693903428128,0.6666666666666666,-256
mlp_wide,64,64,0.7745833333333334,0.7636205148595608,0.785546151807106,0.11994791666666664,17.084542671070473,1.0,0
mlp_wide,256,256,0.7681666666666667,0.7566515904568902,0.7796817428764431,0.2310520833333333,100.00714619242419,1.0,0
mlp_wide,768,256,0.7252500000000001,0.7155587037602281,0.734941296239772,0.27459374999999997,1.5497059266125202,0.3333333333333333,-512
