model,intrinsic_dim,avg_abs_accuracy_slope,max_increase_slope,max_decrease_slope,peak_dimension,peak_accuracy,peak_minus_smallest_dim_accuracy,peak_minus_largest_dim_accuracy,gap_growth_smallest_to_largest_dim,accuracy_drop_after_peak
knn_k11,64,0.0005198567708333316,0.0001536458333333303,-0.001442708333333327,16,0.6004166666666666,0.0,0.20308333333333328,0.06027083333333334,0.20308333333333328
knn_k11,256,0.0005832248263888886,-0.00013704427083333342,-0.0014062499999999978,16,0.593,0.0,0.194,0.04824999999999997,0.194
knn_k11,768,0.000426595052083334,-5.9570312499999944e-05,-0.0009427083333333336,16,0.5540833333333334,0.0,0.13891666666666674,0.03645833333333334,0.13891666666666674
linear_svm,64,0.0008491753472222234,0.002395833333333333,-0.00031998697916666655,64,0.7905833333333334,0.10816666666666674,0.15450000000000008,0.35668750000000005,0.15450000000000008
linear_svm,256,0.0005238715277777784,0.001062500000000001,-0.00022851562499999999,256,0.8007500000000001,0.12108333333333343,0.1120000000000001,0.2973333333333333,0.1120000000000001
linear_svm,768,0.0005376519097222225,0.0019895833333333363,-5.078125000000048e-05,256,0.7493333333333333,0.09924999999999995,0.021166666666666667,0.267125,0.021166666666666667
logreg,64,0.0008476562499999998,0.0023437499999999986,-0.00023600260416666626,64,0.7886666666666666,0.10724999999999996,0.14641666666666664,0.34870833333333334,0.14641666666666664
logreg,256,0.000499945746527778,0.0011093750000000027,-0.00019986979166666634,256,0.7868333333333333,0.1084166666666666,0.09891666666666665,0.2964791666666666,0.09891666666666665
logreg,768,0.0005034722222222222,0.0018437499999999982,-3.743489583333355e-05,256,0.7448333333333333,0.09366666666666668,0.012500000000000067,0.2641458333333333,0.012500000000000067
mlp_base,64,0.0008621961805555552,0.0023281250000000003,-0.00037369791666666714,64,0.7791666666666667,0.1040833333333333,0.20200000000000007,0.39104166666666673,0.20200000000000007
mlp_base,256,0.00044845920138888865,0.0009583333333333319,-0.000312174479166667,256,0.7685,0.09316666666666662,0.13866666666666672,0.34206250000000005,0.13866666666666672
mlp_base,768,0.00048605685763888847,0.0017760416666666654,-0.0001233723958333332,256,0.7249166666666667,0.08208333333333329,0.0379166666666666,0.2887239583333333,0.0379166666666666
mlp_reg,64,0.0007414822048611115,0.002367187500000003,-0.00034505208333333306,64,0.7706666666666667,0.09616666666666673,0.1755833333333333,0.36571875000000004,0.1755833333333333
mlp_reg,256,0.00039138454861111123,0.0006432291666666652,-0.0002871093749999996,256,0.766,0.08816666666666673,0.11933333333333329,0.3252552083333334,0.11933333333333329
mlp_reg,768,0.0004163953993055556,0.0015572916666666686,-0.00010026041666666647,512,0.724,0.07758333333333334,0.025666666666666615,0.27613020833333335,0.025666666666666615
mlp_wide,64,0.0007583007812499999,0.0022526041666666684,-0.00033626302083333316,64,0.7745833333333334,0.09483333333333333,0.1881666666666667,0.3885677083333333,0.1881666666666667
mlp_wide,256,0.00042995876736111105,0.0007291666666666696,-0.0003642578125000002,256,0.7681666666666667,0.0920833333333333,0.1409166666666667,0.3427656250000001,0.1409166666666667
mlp_wide,768,0.0004703233506944447,0.0016666666666666705,-0.00011132812500000032,256,0.7252500000000001,0.08125000000000004,0.029583333333333406,0.27815104166666665,0.029583333333333406
